original,mapped
 , 
1,2
0,5
3,4
2,3
5,6
4,0
7,8
6,7
9,-
8,9
A,>
C,A
B,F
E,T
D,U
G,Y
F,C
I,L
H,O
K,J
J,V
M,Z
L,D
O,N
N,I
Q,K
P,Q
S,E
R,S
U,G
T,H
W,.
V,<
Y,P
X,1
Z,B
a,i
c,o
b,c
e,a
d,l
g,x
f,p
i,t
h,s
k,y
j,v
m,j
l,b
o,r
n,e
q,k
p,u
s,f
r,n
u,q
t,h
w,;
v,g
y,z
x,d
z,w
!,&
#,@
",m
%,:
',_
&,"
),(
(,*
+,%
*,#
-,¨
,,W
/,^
.,M
;,¢
:,,
=,'
<,X
?,/
>,R
@,?
€,=
_,)
^,!
§,£
¢,+
£,€
¨,§
