original,mapped
 , 
1,6
0,F
3,4
2,3
5,5
4,0
7,8
6,7
9,-
8,9
A,;
C,C
B,R
E,G
D,>
G,A
F,H
I,N
H,P
K,<
J,D
M,U
L,V
O,L
N,B
Q,K
P,I
S,E
R,J
U,O
T,T
W,X
V,Y
Y,2
X,M
Z,Q
a,t
c,r
b,o
e,i
d,b
g,d
f,u
i,h
h,f
k,z
j,g
m,v
l,c
o,n
n,a
q,y
p,q
s,p
r,e
u,k
t,s
w,Â
v,x
y,1
x,¢
z,w
